Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Elliptical duration (ms),Martial arts duration (ms),Rock climbing duration (ms),Cross-country skiing duration (ms),Swimming duration (ms),Treadmill walking duration (ms),Other duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms),unknown duration (ms)
2020-02-06,,118.59374618530273,136.4880018234253,,,59.10526315789474,91.0,46.0,,,,,,,,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8820000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-07,150,1791.0781116485596,8528.169193267822,,,81.64279155188247,191.0,43.0,,,,,,,,12626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19200000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-08,30,648.4843754768372,2246.359455704689,,,65.81973355537052,119.0,44.0,,,,,,,,3380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21120000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-09,90,756.296875,5457.158941864967,,,77.90526849037488,119.0,49.0,,,,,,,,8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-10,180,1858.1875,8795.520226597786,,,82.96434359805511,131.0,42.0,,,,,,,,13218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19980000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-11,105,1332.0,6670.1875603199005,,,86.54113924050633,135.0,59.0,,,,,,,,9878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-12,90,977.0,5552.986280202866,,,83.75472813238771,135.0,53.0,,,,,,,,8222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-13,90,882.0,4801.001290678978,,,81.67112024665981,123.0,54.0,,,,,,,,7170,,,,,,,,,,,,,,,,,,,,,,,,,,660000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-14,150,1207.4843769073486,7143.398684382439,,,79.08560794044665,124.0,48.0,,,,,,,,10732,,,,,,,,,,,,,,,,,,,,,,,,,,17880000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-16,,31.0,47.1504008769989,,,55.904761904761905,104.0,44.0,,,,,,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-17,105,1089.0,5515.927633523941,,,80.26175958188153,133.0,45.0,,,,,,,,8214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-18,,13.0,27.297602772712708,,,80.54754098360655,107.0,63.0,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-19,105,1245.0,5918.8944898843765,,,95.253125,130.0,57.0,,,,,,,,8738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-21,135,1314.1428575515747,7100.623779654503,,,100.1231343283582,135.0,66.0,,,,,,,,10305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-23,105,882.0,4932.698988676071,,,84.77121212121212,133.0,58.0,,,,,,,,7276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-24,105,745.0,4733.952948689461,,,88.6711956521739,140.0,55.0,,,,,,,,6870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-25,90,998.7812509536743,5051.394724011421,,,80.04345654345654,128.0,45.0,,,,,,,,7440,,,,,,,,,,,,,,,,,,,,,,,,,,,,19500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-27,,77.0,294.9720093011856,,,87.46969696969697,113.0,68.0,,,,,,,,470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-28,30,823.59375,3265.6127737760544,,,87.52322404371584,134.0,60.0,,,,,,,,4870,,,,,,,,,,,,,,,,,,,10860000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-29,15,636.0,2016.920480966568,,,89.78846153846153,145.0,69.0,,,,,,,,3128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
